ErrorMessage,LastUpdated,Rows,Status
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 00:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 162}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 00:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 165}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 00:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 165}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 00:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 173}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 01:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 172}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 01:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 167}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 01:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 169}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 01:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 175}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 02:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 174}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 02:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 170}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 02:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 169}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 02:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 171}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 03:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 170}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 03:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 172}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 03:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 160}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 03:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 162}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 04:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 158}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 04:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 162}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 04:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 160}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 04:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 161}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 05:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 160}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 05:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 166}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 05:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 159}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 05:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 159}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 06:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 158}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 06:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 151}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 06:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 153}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 06:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 146}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 07:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 144}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 07:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 149}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 07:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 150}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 07:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 155}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 08:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 151}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 08:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 152}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 08:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 151}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 08:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 149}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 09:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 142}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 09:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 136}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 09:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 134}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 09:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 132}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 10:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 123}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 10:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 115}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 10:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 109}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 10:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 106}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 11:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 107}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 11:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 11:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 11:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 12:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 12:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 12:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 12:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 13:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 13:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 13:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 13:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 14:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 14:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 14:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 14:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 15:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 15:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 15:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 15:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 16:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 16:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 16:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 16:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 17:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 17:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 17:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 17:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 18:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 18:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 18:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 18:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 19:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 19:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 19:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 19:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 20:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 20:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 20:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 20:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 21:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 21:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 21:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 21:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 22:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 22:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 22:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 22:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 23:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 23:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 23:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
,03-Feb-2025 11:16:00,"{'EffectiveTime': '03-Feb-2025 23:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': None}",Success
